"사망원인별(104항목)","성별","연령(5세)별","시점",사망자수 (명)
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","10 - 14세","2015",3
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","10 - 14세","2016",0
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","10 - 14세","2017",0
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","10 - 14세","2018",1
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","10 - 14세","2019",1
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","10 - 14세","2020",1
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","10 - 14세","2021",2
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","10 - 14세","2022",5
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","15 - 19세","2012",7
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","15 - 19세","2013",1
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","15 - 19세","2014",3
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","15 - 19세","2015",5
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","15 - 19세","2016",2
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","15 - 19세","2017",1
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","15 - 19세","2018",1
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","15 - 19세","2019",1
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","15 - 19세","2020",2
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","15 - 19세","2021",1
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","15 - 19세","2022",10
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","20 - 24세","2012",4
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","20 - 24세","2013",8
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","20 - 24세","2014",5
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","20 - 24세","2015",5
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","20 - 24세","2016",7
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","20 - 24세","2017",7
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","20 - 24세","2018",6
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","20 - 24세","2019",7
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","20 - 24세","2020",2
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","20 - 24세","2021",2
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","20 - 24세","2022",18
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","25 - 29세","2012",10
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","25 - 29세","2013",16
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","25 - 29세","2014",8
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","25 - 29세","2015",9
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","25 - 29세","2016",7
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","25 - 29세","2017",9
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","25 - 29세","2018",9
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","25 - 29세","2019",5
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","25 - 29세","2020",8
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","25 - 29세","2021",16
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","25 - 29세","2022",32
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","30 - 34세","2012",30
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","30 - 34세","2013",31
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","30 - 34세","2014",20
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","30 - 34세","2015",30
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","30 - 34세","2016",17
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","30 - 34세","2017",10
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","30 - 34세","2018",19
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","30 - 34세","2019",10
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","30 - 34세","2020",14
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","30 - 34세","2021",12
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","30 - 34세","2022",40
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","35 - 39세","2012",63
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","35 - 39세","2013",49
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","35 - 39세","2014",35
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","35 - 39세","2015",32
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","35 - 39세","2016",33
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","35 - 39세","2017",28
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","35 - 39세","2018",23
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","35 - 39세","2019",32
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","35 - 39세","2020",29
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","35 - 39세","2021",39
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","35 - 39세","2022",48
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","40 - 44세","2012",126
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","40 - 44세","2013",108
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","40 - 44세","2014",101
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","40 - 44세","2015",85
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","40 - 44세","2016",65
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","40 - 44세","2017",61
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","40 - 44세","2018",54
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","40 - 44세","2019",44
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","40 - 44세","2020",61
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","40 - 44세","2021",68
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","40 - 44세","2022",106
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","45 - 49세","2012",192
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","45 - 49세","2013",190
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","45 - 49세","2014",184
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","45 - 49세","2015",155
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","45 - 49세","2016",138
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","45 - 49세","2017",139
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","45 - 49세","2018",137
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","45 - 49세","2019",123
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","45 - 49세","2020",103
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","45 - 49세","2021",123
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","45 - 49세","2022",173
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","50 - 54세","2012",289
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","50 - 54세","2013",256
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","50 - 54세","2014",295
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","50 - 54세","2015",228
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","50 - 54세","2016",229
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","50 - 54세","2017",199
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","50 - 54세","2018",196
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","50 - 54세","2019",191
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","50 - 54세","2020",151
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","50 - 54세","2021",239
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","50 - 54세","2022",367
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","55 - 59세","2012",299
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","55 - 59세","2013",268
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","55 - 59세","2014",268
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","55 - 59세","2015",278
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","55 - 59세","2016",276
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","55 - 59세","2017",274
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","55 - 59세","2018",266
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","55 - 59세","2019",289
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","55 - 59세","2020",245
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","55 - 59세","2021",375
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","55 - 59세","2022",624
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","60 - 64세","2012",262
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","60 - 64세","2013",253
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","60 - 64세","2014",242
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","60 - 64세","2015",248
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","60 - 64세","2016",269
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","60 - 64세","2017",295
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","60 - 64세","2018",286
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","60 - 64세","2019",320
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","60 - 64세","2020",349
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","60 - 64세","2021",587
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","60 - 64세","2022",1156
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","65 - 69세","2012",329
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","65 - 69세","2013",277
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","65 - 69세","2014",301
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","65 - 69세","2015",309
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","65 - 69세","2016",323
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","65 - 69세","2017",287
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","65 - 69세","2018",298
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","65 - 69세","2019",280
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","65 - 69세","2020",408
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","65 - 69세","2021",717
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","65 - 69세","2022",1619
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","70 - 74세","2012",532
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","70 - 74세","2013",470
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","70 - 74세","2014",482
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","70 - 74세","2015",415
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","70 - 74세","2016",460
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","70 - 74세","2017",433
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","70 - 74세","2018",436
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","70 - 74세","2019",391
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","70 - 74세","2020",489
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","70 - 74세","2021",880
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","70 - 74세","2022",2259
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","75 - 79세","2012",653
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","75 - 79세","2013",583
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","75 - 79세","2014",598
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","75 - 79세","2015",619
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","75 - 79세","2016",683
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","75 - 79세","2017",674
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","75 - 79세","2018",760
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","75 - 79세","2019",688
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","75 - 79세","2020",829
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","75 - 79세","2021",1146
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","75 - 79세","2022",2971
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","80세이상","2012",1064
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","80세이상","2013",1033
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","80세이상","2014",1128
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","80세이상","2015",1316
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","80세이상","2016",1454
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","80세이상","2017",1399
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","80세이상","2018",1706
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","80세이상","2019",1705
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","80세이상","2020",2192
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","80세이상","2021",3103
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","80세이상","2022",10194
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","80 - 84세","2012",512
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","80 - 84세","2013",538
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","80 - 84세","2014",581
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","80 - 84세","2015",640
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","80 - 84세","2016",719
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","80 - 84세","2017",677
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","80 - 84세","2018",819
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","80 - 84세","2019",808
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","80 - 84세","2020",1012
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","80 - 84세","2021",1419
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","80 - 84세","2022",4318
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","85 - 89세","2012",370
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","85 - 89세","2013",332
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","85 - 89세","2014",357
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","85 - 89세","2015",421
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","85 - 89세","2016",463
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","85 - 89세","2017",471
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","85 - 89세","2018",569
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","85 - 89세","2019",584
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","85 - 89세","2020",772
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","85 - 89세","2021",1105
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","85 - 89세","2022",3604
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","90세이상","2012",182
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","90세이상","2013",163
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","90세이상","2014",190
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","90세이상","2015",255
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","90세이상","2016",272
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","90세이상","2017",251
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","90세이상","2018",318
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","90세이상","2019",313
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","90세이상","2020",408
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","90세이상","2021",579
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","90세이상","2022",2272
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","15세 미만","2012",15
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","15세 미만","2013",20
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","15세 미만","2014",18
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","15세 미만","2015",19
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","15세 미만","2016",17
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","15세 미만","2017",14
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","15세 미만","2018",12
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","15세 미만","2019",15
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","15세 미만","2020",7
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","15세 미만","2021",12
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","15세 미만","2022",31
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","15 - 64세","2012",1282
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","15 - 64세","2013",1180
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","15 - 64세","2014",1161
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","15 - 64세","2015",1075
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","15 - 64세","2016",1043
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","15 - 64세","2017",1023
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","15 - 64세","2018",997
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","15 - 64세","2019",1022
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","15 - 64세","2020",964
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","15 - 64세","2021",1462
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","15 - 64세","2022",2574
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","65세 이상","2012",2578
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","65세 이상","2013",2363
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","65세 이상","2014",2509
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","65세 이상","2015",2659
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","65세 이상","2016",2920
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","남자","65세 이상","2017",2793
