"성별","산업별","국가별","항목","단위","1991 년","1992 년","1993 년","1994 년","1995 년","2000 년","2001 년","2002 년","2003 년","2004 년","2005 년","2006 년","2007 년","2008 년","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년",
"남자","전체","독일","취업자","","","","","","","","","","","","","","","21032.758","20815.711","20422.472","20800.771","21018.574","21142.093","21300.807","21453.11","22063.633","22288.39","22393.607","22622.4","22075.386","22060.251","22629.896",
"남자","전체","그리스","취업자","","","","","","","","","","","","","","","2769.754","2702.965","2584.472","2373.682","2150.749","2053.132","2043.771","2074.312","2115.351","2167.66","2029.849","2040.566","2042.339","2270.181","2392.175",
"남자","전체","헝가리","취업자","","","","","","","","","","","","","","","2093.634","2025.051","1992.543","2020.992","2048.839","2103.734","2220.476","2283.468","2362.499","2417.306","2446.212","2479.685","2460.972","2476.142","2499.802",
"남자","전체","아이슬란드","취업자","","","","","","","","","","","","","","","96.382","87.517","86.487","86.382","87.419","90.458","92.713","96.084","101.242","103.812","106.819","108.144","105.006","106.837","113.138",
"남자","전체","아일랜드","취업자","","","","","","","","","","","","","","","1231.767","1090.603","1031.442","1008.475","1002.762","1044.572","1077.358","1115.993","1153.011","1186.37","1221.033","1253.025","1241.839","1277.155","1357.889",
"남자","전체","이탈리아","취업자","","","","","","","","","","","","","","","13820.321","13541.127","13374.188","13339.66","13192.997","12914.388","12944.91","13084.308","13232.844","13348.364","13445.845","13487.431","13280.179","13043.604","13350.191",
"남자","전체","라트비아","취업자","","","","","","","","","","","","","","","531.351","435.016","402.59","416.17","428.233","440.596","438.463","443.945","438.209","440.958","448.599","450.148","441.948","433.958","439.528",
"남자","전체","리투아니아","취업자","","","","","","","","","","","","","","","720.215","630.181","590.778","603.801","617.578","636.094","647.124","654.092","662.99","659.968","679.056","680.915","679.907","687.372","694.542",
"남자","전체","네덜란드","취업자","","","","","","","","","","","","","","","4612.252","4583.462","4500.99","4475.385","4500.589","4458.672","4459.419","4481.918","4536.279","4617.166","4703.655","4784.218","4776.817","4910.236","5075.481",
"남자","전체","노르웨이","취업자","","","","","","","","","","","","","","","1323.061","1309.281","1314.744","1331.794","1362.26","1371.117","1383.634","1394.741","1387.432","1391.798","1420.637","1436.284","1430.121","1480.859","1512.993",
"남자","전체","폴란드","취업자","","","","","","","","","","","","","","","8717.215","8721.56","8565.6","8648.017","8650.995","8641.156","8777.714","8866.402","8932.417","9065.17","9077.092","9114.353","9112.132","9117.461","9107.852",
"남자","전체","포르투갈","취업자","","","","","","","","","","","","","","","2724.992","2611.603","2568.869","2486.357","2356.573","2287.232","2318.496","2333.266","2360.815","2441.35","2485.553","2503.407","2439.358","2428.623","2470.078",
"남자","전체","슬로바키아","취업자","","","","","","","","","","","","","","","1363.813","1326.706","1285.085","1292.396","1303.591","1295.306","1351","1349.773","1378.783","1385.322","1413.695","1417.152","1386.044","1357.076","1380.988",
"남자","전체","슬로베니아","취업자","","","","","","","","","","","","","","","542.912","530.62","523.453","506.106","499.773","494.608","499.211","500.737","491.092","515.862","530.203","532.139","530.548","527.928","536.511",
"남자","전체","스페인","취업자","","","","","","","","","","","","","","","11805.096","10733.089","10423.644","10152.229","9607.675","9315.515","9442.301","9759.938","10000.412","10266.271","10532.04","10745.412","10429.451","10651.822","10965.173",
"남자","전체","스웨덴","취업자","","","","","","","","","","","","","","","2421.816","2359.178","2393.591","2438.254","2442.386","2467.489","2502.401","2529.999","2561.733","2629.077","2667.8","2693.487","2675.416","2716.912","2792.884",
"남자","전체","스위스","취업자","","2103.918","2097.313","2090.063","2068.506","2093.774","","","","","","","","","","2304.381","2288.722","2334.698","2354.914","2368.591","2397.519","2430.353","2460.714","2486.782","2502.085","2507.097","2504.436","2494.473","2514.814",
"남자","전체","영국","취업자","","","","","","","","","","","","","","","15888.978","15482.132","15527.081","15617.375","15807.701","15952.19","16324.511","16611.428","16851.087","16949.31","17145.266","17240.775","","","",
"남자","전체","뉴질랜드","취업자","","","","","","","","","","","","","","","","1148.5","1161.4","1177.8","1176.2","1202.7","1215.6","1244.3","","","","","","","",
"남자","농업, 임업 및 어업","대한민국","취업자","","","","","","","","","","","","","","","","","","","","868","835","774","744","770","796","830","876","897","932",
"남자","농업, 임업 및 어업","일본","취업자","","","","","","","1752.871","1674.164","1614.889","1603.303","1600.022","1566.152","1533.838","1528.393","1531.889","1499.721","1456.726","1372.25","1438.378","1375.852","1367.967","1374.348","1356.263","1346.214","1386.882","1338.241","1291.971","","",
"남자","농업, 임업 및 어업","튀르키예","취업자","","","","","","","","","","","3148.17","2787.119","","","2662.616","2655.678","2828.271","3075.54","3124.468","3122.183","2936.736","2928.802","2920.855","2994.769","2943.004","2849.122","2818.445","2901.067","2822.141",
"남자","농업, 임업 및 어업","멕시코","취업자","","","","","","","","","","","","5571.691","5487.009","5399.98","5488.119","5670.643","5816.35","5829.404","5989.748","6061.845","6185.636","5991.316","5949.473","6038.495","6088.873","6061.333","5680.552","6034.58","6001.905",
"남자","농업, 임업 및 어업","미국","취업자","","","","","","","","","","1831.387","1818.115","1773.9","1785.986","1728.322","1760.683","1711.505","1795.902","1818.391","1754.495","1743.348","1815.804","1968.518","1996.37","2012.501","1941.384","1925.811","1850.816","1808.316","1817.124",
"남자","농업, 임업 및 어업","칠레","취업자","","","","","","","","","","","","","","","","","","","","571.967","572.244","581.502","584.709","588.296","597.185","600.02","438.062","422.1","431.855",
"남자","농업, 임업 및 어업","코스타리카","취업자","","","","","","","","","","","","","","","","","","","","","","","","254.549","269.505","265.143","256.675","251.417","229.903",
"남자","농업, 임업 및 어업","오스트리아","취업자","","","","","","","","","","","","","","","","","","112.008","109.719","107.214","110.354","105.63","105.456","93.55","93.058","94.1","98.114","92.307","90.626",
"남자","농업, 임업 및 어업","벨기에","취업자","","","","","","","","","","","","","","","48.521","46.042","42.56","40.463","38.717","44.093","37.653","38.088","41.359","38.805","33.072","30.12","29.643","32.783","32.04",
"남자","농업, 임업 및 어업","체코","취업자","","","","","","","","","","","","","","","109.512","106.961","111.249","106.351","108.465","105.3","101.4","111.408","110.17","105.102","106.914","100.358","99.703","98.266","94.455",
"남자","농업, 임업 및 어업","덴마크","취업자","","","","","","","","","","","","","","","59.847","59.234","55.933","52.821","56.237","55.662","55.02","54.663","52.101","46.134","49.276","48.95","46.986","46.491","48.058",
"남자","농업, 임업 및 어업","핀란드","취업자","","","","","","","","","","","","","","","81.222","79.109","75.312","75.525","74.966","74.153","76.053","76.477","69.682","67.275","68.672","71.134","67.36","78.566","73.214",
"남자","농업, 임업 및 어업","프랑스","취업자","","","","","","","","","","","","","","","482.682","520.789","527.104","517.714","524.156","558.378","532.462","506.648","544.83","487.948","486.23","481.905","439.675","484.425","507.642",
"남자","농업, 임업 및 어업","독일","취업자","","","","","","","","","","","","","","","456.253","426.985","414.865","425.448","411.361","385.857","381.916","381.05","368.565","361.19","358.341","345.798","344.946","334.538","350.819",
"남자","농업, 임업 및 어업","그리스","취업자","","","","","","","","","","","","","","","290.47","301.855","308.648","279.096","270.141","277.578","279.912","271.14","265.787","266.043","252.495","242.611","226.561","276.199","290.929",
"남자","농업, 임업 및 어업","헝가리","취업자","","","","","","","","","","","","","","","125.343","128.069","129.24","137.644","143.959","139.291","141.601","155.061","162.671","165.783","161.703","155.553","155.661","146.848","148.723",
"남자","농업, 임업 및 어업","아이슬란드","취업자","","","","","","","","","","","","","","","6.352","6.353","7.46","7.56","7.558","5.646","6.342","6.232","5.472","5.529","6.871","6.827","6.251","6.488","6.968",
"남자","농업, 임업 및 어업","아일랜드","취업자","","","","","","","","","","","","","","","99.764","96.37","93.301","93.278","94.245","96.711","92.197","94.05","97.23","94.675","92.032","89.688","87.252","92.416","86.321",
"남자","농업, 임업 및 어업","이탈리아","취업자","","","","","","","","","","","","","","","591.345","593.477","599.957","587.125","591.135","573.154","586.647","613.857","643.908","643.093","637.841","673.162","678.97","677.977","646.847",
"남자","농업, 임업 및 어업","라트비아","취업자","","","","","","","","","","","","","","","53.722","50.147","47.497","52.681","51.456","49.638","46.333","48.273","45.622","42.277","44.808","46.228","45.922","42.116","41.236",
"남자","농업, 임업 및 어업","리투아니아","취업자","","","","","","","","","","","","","","","73.39","72.643","67.557","64.438","70.484","68.853","75.616","75.94","69.859","67.9","66.089","59.743","52.182","48.734","50.384",
"남자","농업, 임업 및 어업","네덜란드","취업자","","","","","","","","","","","","","","","181.364","172.901","164.523","148.119","147.635","115.767","125.474","124.799","125.969","123.836","119.216","116.044","118.736","142.78","123.051",
"남자","농업, 임업 및 어업","노르웨이","취업자","","","","","","","","","","","","","","","50.385","53.258","51.564","49.374","47.245","45.86","46.226","41.519","42.689","42.616","42.761","41.978","44.328","51.943","50.3",
"남자","농업, 임업 및 어업","폴란드","취업자","","","","","","","","","","","","","","","1226.079","1165.335","1143.738","1162.249","1147.67","1109.792","1093.51","1103.431","1027.365","1021.568","956.071","907.095","963.784","865.199","848.67",
"남자","농업, 임업 및 어업","포르투갈","취업자","","","","","","","","","","","","","","","296.735","293.54","294.356","285.076","295.604","283.196","251.346","222.359","210.401","206.79","200.233","181.997","175.199","92.229","94.503",
"남자","농업, 임업 및 어업","슬로바키아","취업자","","","","","","","","","","","","","","","72.936","63.716","42.543","56.757","58.427","59.92","62.676","62.853","56.227","52.884","45.302","56.355","51.989","46.253","51.035",
"남자","농업, 임업 및 어업","슬로베니아","취업자","","","","","","","","","","","","","","","47.39","48.682","47.254","46.158","44.022","43.063","47.821","34.854","28.024","31.799","31.269","26.261","23.036","22.883","25.06",
"남자","농업, 임업 및 어업","스페인","취업자","","","","","","","","","","","","","","","605.505","582.932","582.96","557.489","549.681","561.119","558.492","565.867","595.801","624.654","621.397","612.3","593.822","610.718","595.649",
"남자","농업, 임업 및 어업","스웨덴","취업자","","","","","","","","","","","","","","","78.398","76.835","74.38","72.004","73.496","73.419","73.195","74.479","68.639","67.264","67.583","69.292","68.738","75.74","77.314",
"남자","농업, 임업 및 어업","스위스","취업자","","71.455","73.347","79.177","76.704","82.725","","","","","","","","","","94.29","97.221","98.026","95.175","98.61","101.807","94.941","91.438","89.52","85.367","77.737","75.136","73.271","72.032",
"남자","농업, 임업 및 어업","영국","취업자","","","","","","","","","","","","","","","218.903","245.437","269.62","265.386","254.216","230.497","280.347","258.277","260.476","272.454","250.556","249.853","","","",
"남자","농업, 임업 및 어업","뉴질랜드","취업자","","","","","","","","","","","","","","","","98.7","104.6","105.1","104.2","100.1","99.9","99.3","","","","","","","",
"남자","광업","대한민국","취업자","","","","","","","","","","","","","","","","","","","","14","11","12","17","19","16","12","11","10","8",
"남자","광업","일본","취업자","","","","","","","44.821","45.499","44.031","39.711","33.056","26.268","27.42","29.663","24.199","29.381","27.312","21.173","25.355","22.98","27.568","25.223","22.432","26.952","21.074","18.567","20.452","","",
"남자","광업","튀르키예","취업자","","","","","","","","","","","91.825","104.795","","","109.495","95.51","110.234","122.175","111.444","101.971","129.545","115.924","120.307","131.364","143.106","118.67","126.254","139.514","147",
"남자","광업","멕시코","취업자","","","","","","","","","","","","237.748","232.799","244.452","250.208","264.338","255.301","249.329","278.907","303.826","291.941","285.724","259.885","274.45","270.566","273.929","249.942","240.554","291.243",
"남자","광업","미국","취업자","","","","","","","","","","351.152","362.62","403.675","453.952","462.541","488.427","437.337","454.047","497.04","558.539","616.425","606.754","531.518","487.949","454.168","455.37","432.418","410.762","354.269","352.717",
"남자","광업","칠레","취업자","","","","","","","","","","","","","","","","","","","","236.801","224.363","214.05","185.072","183.125","187.985","207.671","181.175","197.244","236.374",
"남자","광업","코스타리카","취업자","","","","","","","","","","","","","","","","","","","","","","","","1.051","1.996","1.366","2.021","1.774","1.846",
"남자","광업","오스트리아","취업자","","","","","","","","","","","","","","","","","","9.009","7.87","5.943","5.077","6.547","6.33","4.694","5.473","5.279","5.79","8.268","6.934",
"남자","광업","벨기에","취업자","","","","","","","","","","","","","","","4.449","5.032","3.833","4.358","5.955","3.724","3.814","3.212","3.955","3.67","3.412","3.216","3.725","3.743","2.77",
"남자","광업","체코","취업자","","","","","","","","","","","","","","","48.05","44.659","39.937","40.214","38.651","36.372","32.63","33.846","35.022","29.674","30.133","26.423","25.928","25.043","20.461",
"남자","광업","덴마크","취업자","","","","","","","","","","","","","","","2.866","3.551","2.729","3.761","5.244","5.375","5.101","4.467","4.358","3.515","3.747","4.543","4.725","3.284","3.038",
"남자","광업","핀란드","취업자","","","","","","","","","","","","","","","4.472","4.821","6.602","5.384","5.606","5.921","4.861","5.914","5.809","5.131","6.262","7.336","5.354","4.024","6.009",
"남자","광업","프랑스","취업자","","","","","","","","","","","","","","","17.804","21.617","20.591","21.182","24.024","23.984","25.654","24.554","23.879","18.76","17.358","20.777","18.895","24.048","32.701",
"남자","광업","독일","취업자","","","","","","","","","","","","","","","94.574","90.929","82.622","85.724","84.429","73.563","77.008","72.097","73.211","68.216","62.531","57.183","62.025","62.126","56.25",
"남자","광업","그리스","취업자","","","","","","","","","","","","","","","14.968","13.263","12.576","10.305","9.538","8.756","10.618","9.754","12.474","11.216","10.174","10.044","9.176","9.28","11.041",
"남자","광업","헝가리","취업자","","","","","","","","","","","","","","","9.329","9.127","11.103","10.481","9.203","7.741","8.36","8.746","7.783","9.945","11.121","10.186","7.94","6.55","6.778",
"남자","광업","아일랜드","취업자","","","","","","","","","","","","","","","11.025","6.917","6.441","5.188","5.737","6.582","5.807","6.834","5.3","6.321","5.794","6.279","4.716","","",
"남자","광업","이탈리아","취업자","","","","","","","","","","","","","","","30.757","28.538","29.39","33.767","30.873","33.303","35.036","31.236","28.287","25.956","21.242","21.839","28.722","26.148","27.728",
"남자","광업","라트비아","취업자","","","","","","","","","","","","","","","2.451","2.535","3.115","2.352","2.131","2.145","2.767","3.378","2.652","2.074","2.409","2.597","2.302","2.121","",
"남자","광업","리투아니아","취업자","","","","","","","","","","","","","","","","","","","","3.235","3.693","2.014","2.407","2.24","2.827","1.96","2.028","2.929","3.759",
"남자","광업","네덜란드","취업자","","","","","","","","","","","","","","","8.521","8.82","7.868","6.333","8.43","9.421","8.701","11.742","8.744","7.242","7.309","7.27","8.216","10.229","13.238",
"남자","광업","노르웨이","취업자","","","","","","","","","","","","","","","32.934","35.514","37.387","42.652","47.975","56.997","61.01","54.993","47.402","43.73","49.495","49.082","50.785","50.214","55.358",
"남자","광업","폴란드","취업자","","","","","","","","","","","","","","","206.267","199.842","204.81","219.216","224.202","242.707","244.83","210.08","204.318","183.708","174.303","194.654","192.785","171.045","158.736",
"남자","광업","포르투갈","취업자","","","","","","","","","","","","","","","15.965","15.949","16.901","16.213","12.574","12.686","11.382","10.842","10.684","11.214","13.1","11.337","14.686","8.223","9.176",
"남자","광업","슬로바키아","취업자","","","","","","","","","","","","","","","12.623","9.887","9.704","11.154","11.955","10.955","9.901","10.545","9.979","10.726","10.335","8.132","7.372","6.111","",
"남자","광업","슬로베니아","취업자","","","","","","","","","","","","","","","3.423","3.279","3.693","4.466","3.908","3.861","2.757","3.044","2.539","2.189","2.967","3.827","3.28","2.138","2.279",
"남자","광업","스페인","취업자","","","","","","","","","","","","","","","47.991","40.718","42.422","38.114","32.218","26.034","27.113","30.328","27.021","31.256","30.309","28.409","26.868","27.679","23.927",
"남자","광업","스웨덴","취업자","","","","","","","","","","","","","","","7.944","7.708","7.303","7.482","8.277","9.928","8.338","7.58","6.759","7.395","7.807","6.982","7.564","8.033","10.315",
"남자","광업","스위스","취업자","","3.435","3.974","1.989","1.735","1.785","","","","","","","","","","5.219","3.477","4.682","3.329","3.012","2.45","3.419","4.51","3.05","2.923","3.23","3.133","2.087","1.799",
"남자","광업","영국","취업자","","","","","","","","","","","","","","","102.767","93.441","88.248","91.708","106.677","108.3","110.283","131.001","101.352","99.504","111.926","101.146","","","",
"남자","광업","뉴질랜드","취업자","","","","","","","","","","","","","","","","5.8","6.1","6.8","6.5","6.1","6.4","5.3","","","","","","","",
"남자","제조업","대한민국","취업자","","","","","","","","","","","","","","","","","","","","3033","3144","3266","3270","3215","3200","3158","3137","3111","3214",
"남자","제조업","일본","취업자","","","","","","","8528.35","8368.147","8031.377","8011.405","7903.03","7913.014","8061.647","8199.327","8101.731","7456.331","7272.171","7127.355","7217.071","7260.832","7258.825","7192.081","7208.535","7297.033","7368.194","7431.621","7275.221","","",
"남자","제조업","튀르키예","취업자","","","","","","","","","","","2951.352","3163.394","","","3391.798","3021.941","3263.324","3379.039","3407.617","3545.923","3725.414","3762.379","3710.742","3728.531","3903.828","3845.674","3784.754","4204.794","4507.281",
"남자","제조업","멕시코","취업자","","","","","","","","","","","","4520.37","4640.002","4677.945","4634.474","4455.155","4684.951","4811.304","4943.615","5095.462","5227.193","5278.493","5456.408","5620.397","5792.963","5950.66","5415.394","5885.773","6002.597",
"남자","제조업","미국","취업자","","","","","","","","","","12447.28","12263.899","12193.164","12360.475","12133.504","12000.242","10818.876","10796.96","10934.927","11208.756","11356.543","11127.21","11370.2","11437.31","11336.077","11554.303","11646.995","10605.017","10751.9","11145.69",
"남자","제조업","칠레","취업자","","","","","","","","","","","","","","","","","","","","622.805","610.621","600.297","585.731","599.863","590.944","568.329","542.361","556.214","584.613",
"남자","제조업","코스타리카","취업자","","","","","","","","","","","","","","","","","","","","","","","","143.288","156.336","154.132","141.053","146.47","166.014",
"남자","제조업","오스트리아","취업자","","","","","","","","","","","","","","","","","","471.229","469.916","458.941","466.62","484.395","494.932","493.831","515.125","511.578","497.758","523.292","542.958",
"남자","제조업","벨기에","취업자","","","","","","","","","","","","","","","545.176","498.419","488.377","487.788","455.859","450.958","445.353","450.751","438.933","432.288","459.422","451.963","449.683","417.931","417.043",
"남자","제조업","체코","취업자","","","","","","","","","","","","","","","879.587","804.895","817.864","851.58","862.733","854.373","877.23","912.38","942.879","962.159","959.002","962.141","926.546","907.304","898.711",
"남자","제조업","덴마크","취업자","","","","","","","","","","","","","","","279.866","240.095","239.374","240.15","230.947","224.746","223.854","226.408","231.781","229.471","231.394","222.328","226.409","236.499","235.304",
"남자","제조업","핀란드","취업자","","","","","","","","","","","","","","","310.788","280.478","265.77","269.067","268.226","262.708","248.596","244.037","245.478","247.094","253.864","244.069","242.782","236.826","241.272",
"남자","제조업","프랑스","취업자","","","","","","","","","","","","","","","2653.183","2514.583","2394.27","2381.935","2322.627","2267.007","2257.087","2301.551","2316.955","2283.465","2218.008","2243.338","2193.301","2116.615","2124.024",
"남자","제조업","독일","취업자","","","","","","","","","","","","","","","5914.883","5734.4","5526.116","5599.749","5618.916","5549.973","5671.106","5652.096","5760.891","5781.972","5802.479","5833.612","6096.694","6008.496","5906.756",
"남자","제조업","그리스","취업자","","","","","","","","","","","","","","","399.091","384.614","350.982","307.642","261.697","236.104","225.71","232.755","242.094","252.26","235.779","245.734","247.186","274.582","297.445",
"남자","제조업","헝가리","취업자","","","","","","","","","","","","","","","518.85","490.114","474.775","495.355","494.042","515.18","568.773","576.093","603.315","638.888","649.121","641.925","622.04","606.673","602.754",
"남자","제조업","아이슬란드","취업자","","","","","","","","","","","","","","","13.395","12.887","12.618","13.352","14.363","14.119","13.688","13.665","13.863","13.588","12.786","13.829","13.906","13.634","13.268",
"남자","제조업","아일랜드","취업자","","","","","","","","","","","","","","","185.775","162.198","151.565","147.001","142.986","151.519","155.366","164.793","171.1","175.917","174.768","178.074","182.73","194.116","195.961",
"남자","제조업","이탈리아","취업자","","","","","","","","","","","","","","","3293.793","3184.822","3067.178","3086.942","3018.714","2962.489","3040.819","3031.53","3065.436","3102.726","3148.151","3192.75","3177.969","3094.927","3088.206",
"남자","제조업","라트비아","취업자","","","","","","","","","","","","","","","85.178","63.755","64.222","65.573","71.695","75.033","71.122","71.939","75.656","76.076","70.698","71.823","68.111","66.251","70.306",
"남자","제조업","리투아니아","취업자","","","","","","","","","","","","","","","132.574","111.022","103.044","105.763","111.301","109.201","107.223","108.845","117.801","118.627","122.65","122.061","120.149","131.295","122.489",
"남자","제조업","네덜란드","취업자","","","","","","","","","","","","","","","708.163","662.001","616.742","587.933","589.187","601.998","600.984","618.614","628.288","628.222","630.669","631.27","619.658","605.091","618.37",
"남자","제조업","노르웨이","취업자","","","","","","","","","","","","","","","198.601","195.285","182.673","180.135","180.346","174.405","175.953","176.67","170.283","164.469","158.315","161.933","156.861","153.19","154.223",
"남자","제조업","폴란드","취업자","","","","","","","","","","","","","","","2129.338","2031.193","1932.776","1957.348","1971.072","2045.068","2065.467","2103.537","2238.98","2337.809","2363.278","2308.637","2214.295","2175.139","2209.337",
"남자","제조업","포르투갈","취업자","","","","","","","","","","","","","","","508.361","486.103","473.455","462.894","446.345","416.052","439.912","463.74","469.972","484.321","506.902","510.233","490.422","486.187","495.378",
"남자","제조업","슬로바키아","취업자","","","","","","","","","","","","","","","406.67","359.029","252.963","366.399","378.529","363.133","400.572","400.891","400.261","410.241","420.166","427.541","422.266","309.557","407.011",
"남자","제조업","슬로베니아","취업자","","","","","","","","","","","","","","","168.704","152.137","152.829","147.558","139.624","138.703","140.627","147.412","156.35","167","162.532","169.192","171.634","151.153","151.428",
"남자","제조업","스페인","취업자","","","","","","","","","","","","","","","2231.01","1894.956","1788.971","1759.377","1642.283","1583.464","1598.967","1653.931","1707.982","1775.985","1797.382","1813.647","1755.303","1776.744","1798.009",
"남자","제조업","스웨덴","취업자","","","","","","","","","","","","","","","475.543","426.505","415.945","425.678","407.042","392.743","385.854","385.125","382.572","384.714","385.499","388.509","378.905","373.433","368.788",
"남자","제조업","스위스","취업자","","531.845","521.268","486.294","477.912","497.42","","","","","","","","","","461.552","439.724","440.339","429.22","427.727","423.119","417.401","419.094","410.183","424.214","422.855","420.902","396.184","410.854",
"남자","제조업","영국","취업자","","","","","","","","","","","","","","","2517.095","2119.755","2193.26","2175.44","2190.335","2220.491","2248.203","2256.039","2260.714","2190.674","2170.036","2222.662","","","",
"남자","제조업","뉴질랜드","취업자","","","","","","","","","","","","","","","","180.9","180.3","182.9","182.2","181.1","178.6","189.7","","","","","","","",
"남자","전기, 가스, 증기 및 공기조절 공급업","대한민국","취업자","","","","","","","","","","","","","","","","","","","","63","58","66","62","62","62","60","61","57","64",
"남자","전기, 가스, 증기 및 공기조절 공급업","일본","취업자","","","","","","","289.447","293.031","286.482","270.996","265.644","314.339","313.651","286.785","283.831","304.477","296.624","258.277","269.669","263.232","247.81","250.659","260.87","251.729","239.311","239.852","271.068","","",
"남자","전기, 가스, 증기 및 공기조절 공급업","튀르키예","취업자","","","","","","","","","","","61.276","55.406","","","68.19","59.517","67.637","75.93","89.534","88.184","84.574","94.866","94.527","104.182","111.724","104.237","111.991","115.4","117.708",
"남자","전기, 가스, 증기 및 공기조절 공급업","멕시코","취업자","","","","","","","","","","","","45.145","45.546","44.181","45.15","47.57","53.946","50.403","52.313","52.803","54.638","55.063","53.897","54.944","59.424","55.728","47.464","99.388","127.618",
"남자","전기, 가스, 증기 및 공기조절 공급업","미국","취업자","","","","","","","","","","855.326","820.139","850.322","849.58","876.54","918.485","923.367","913.97","902.721","851.077","859.421","908.096","913.529","984.279","1022.76","1020.95","1039.238","1012.905","997.866","1027.043",
"남자","전기, 가스, 증기 및 공기조절 공급업","칠레","취업자","","","","","","","","","","","","","","","","","","","","26.364","29.773","33.674","37.724","38.22","36.209","34.343","41.853","43.059","35.962",
"남자","전기, 가스, 증기 및 공기조절 공급업","코스타리카","취업자","","","","","","","","","","","","","","","","","","","","","","","","22.707","18.873","19.4","18.732","15.221","14.45",
"남자","전기, 가스, 증기 및 공기조절 공급업","오스트리아","취업자","","","","","","","","","","","","","","","","","","22.976","21.153","24.097","25.277","25.679","25.075","24.38","22.701","20.656","23.498","22.16","22.103",
"남자","전기, 가스, 증기 및 공기조절 공급업","벨기에","취업자","","","","","","","","","","","","","","","25.219","22.761","22.752","22.844","19.974","20.137","19.401","17.791","19.572","26.202","24.908","19.613","20.523","21.701","21.285",
"남자","전기, 가스, 증기 및 공기조절 공급업","체코","취업자","","","","","","","","","","","","","","","47.256","46.751","46.809","46.373","42.518","43.109","46.166","39.183","41.127","38.137","40.149","38.36","44.557","41.463","42.312",
"남자","전기, 가스, 증기 및 공기조절 공급업","덴마크","취업자","","","","","","","","","","","","","","","11.189","12.299","11.58","11.266","11.172","11.366","10.828","9.561","10.624","10.889","9.12","10.508","11.822","11.586","13.208",
"남자","전기, 가스, 증기 및 공기조절 공급업","핀란드","취업자","","","","","","","","","","","","","","","10.546","12.222","11.753","11.114","11.028","10.304","10.745","10.005","12.392","11.343","9.688","10.323","12.193","10.931","11.329",
